site_id,year,volume
hungry_horse_reservoir_inflow,2024,1373.181
snake_r_nr_heise,2024,3138.763
pueblo_reservoir_inflow,2024,358.546
sweetwater_r_nr_alcova,2024,47.782
missouri_r_at_toston,2024,1238.913
animas_r_at_durango,2024,274.913
yampa_r_nr_maybell,2024,933.474
libby_reservoir_inflow,2024,4371.15
boise_r_nr_boise,2024,1004.658
green_r_bl_howard_a_hanson_dam,2024,180.758
taylor_park_reservoir_inflow,2024,105.576
dillon_reservoir_inflow,2024,159.051
ruedi_reservoir_inflow,2024,148.583
fontenelle_reservoir_inflow,2024,515.748
weber_r_nr_oakley,2024,126.862
san_joaquin_river_millerton_reservoir,2024,1269.3
merced_river_yosemite_at_pohono_bridge,2024,397.4
american_river_folsom_lake,2024,1174.2
colville_r_at_kettle_falls,2024,80.543
stehekin_r_at_stehekin,2024,491.209
detroit_lake_inflow,2024,430.585
virgin_r_at_virtin,2024,38.319
skagit_ross_reservoir,2024,743.9
boysen_reservoir_inflow,2024,509.306
pecos_r_nr_pecos,2024,44.92
owyhee_r_bl_owyhee_dam,2024,582.264
